	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
nördlinger	0.0005237654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
selbstpeinigung	0.00052366493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
küster	0.00052361155	0.0	0.0011085564	0.0	0.0	0.0009676739	0.0	0.00055141293	0.0	0.00089387683	0.0004458546	0.0056273495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014941714
verschreibung	0.00052306784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
paradise	0.00052208576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005627314	0.0	0.0	0.0	0.0	0.0	0.0005608403	0.0	0.0	0.0
soldaten	0.0005208033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
börse	0.00051728945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
verschiedenen	0.00051276403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
infanterie	0.0005119808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
schule	0.0005114373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mahlzeit	0.00050948747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pfarrer	0.0005073052	0.0	0.0	0.0	0.0	0.0008030655	0.00066595955	0.0	0.0037844584	0.0	0.0	0.00097230985	0.002166764	0.0	0.0	0.0	0.0	0.0020347838	0.0	0.0
schrift	0.00049114943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
artillerie	0.0004886523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fritze	0.0	0.0013976841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nonne	0.0	0.0013939034	0.00052484946	0.0	0.0	0.0	0.0	0.00050578924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
heiligen	0.0	0.0010428801	0.0	0.0	0.0	0.0	0.0	0.0010440289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
irrwisch	0.0	0.0010248049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
stadt	0.0	0.0009886868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
stufen	0.0	0.0009398295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054814713	0.0	0.0
schnee	0.0	0.0008128418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00073017116	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fühlt	0.0	0.0007079765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048262678	0.0
tambourin	0.0	0.00068764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
kastenverwalter	0.0	0.000669685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dritte	0.0	0.00064891274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005655321
nonnen	0.0	0.0006383425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
zweite	0.0	0.0006369741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047897693	0.0	0.0	0.0
feodora	0.0	0.0006328665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000668039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bild	0.0	0.0005998574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
julio	0.0	0.0005854503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sinka	0.0	0.0005791393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
form	0.0	0.00055937894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013386409	0.0	0.0	0.0	0.0	0.0
gelübde	0.0	0.00055208366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
treten	0.0	0.0005510725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
freie	0.0	0.0005455405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046070362	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feuer	0.0	0.0005346981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006220279
puppenspieler	0.0	0.0005244855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00050772284	0.0	0.0
vornehmer	0.0	0.0005239935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
höchst	0.0	0.0005204504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005156635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
geistes	0.0	0.00050647085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anstalten	0.0	0.00050342875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
laufen	0.0	0.0004996837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
verfolgen	0.0	0.00049874815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dortigen	0.0	0.00049505377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
romano	0.0	0.00049420935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
umständen	0.0	0.00048917445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
heilige	0.0	0.00048610457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
stadtschreiber	0.0	0.0004696978	0.0	0.0	0.001013427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
balliere	0.0	0.0004696484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
see	0.0	0.00046848436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009215192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abwechselnd	0.0	0.00045851592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dose	0.0	0.00045808815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hochkirch	0.0	0.0004571257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
seppi	0.0	0.00045574587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
marquis	0.0	0.00045048623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026657875
reife	0.0	0.00044753615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prinz	0.0	0.000446709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
erhabenen	0.0	0.00044667211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tugenden	0.0	0.00044398094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hälfte	0.0	0.00044181163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gegründet	0.0	0.00043153713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
städte	0.0	0.00042888094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
versichern	0.0	0.00042667246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
geständniß	0.0	0.00042594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007213117	0.0	0.0	0.0
liesbeth	0.0	0.0	0.0019062955	0.0	0.0	0.0	0.0	0.0	0.0014305759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
herrn	0.0	0.0	0.0012280202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010568161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ersten	0.0	0.0	0.0012269595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002473228	0.0	0.0	0.0	0.0	0.0
lieutenant	0.0	0.0	0.0011801652	0.0	0.0006050349	0.0	0.0	0.0	0.00047392116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mr	0.0	0.0	0.0011288145	0.0	0.0008655378	0.0	0.00066120253	0.0	0.0	0.0	0.0007178847	0.0010066828	0.0006711217	0.0	0.0	0.0	0.0	0.0	0.0011299682	0.0
jahren	0.0	0.0	0.00093260664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
london	0.0	0.0	0.0008194145	0.0	0.00060321525	0.0	0.0	0.0	0.0	0.0	0.00047820405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
kohle	0.0	0.0	0.0008112764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
segel	0.0	0.0	0.0007968237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jahre	0.0	0.0	0.0007901329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0060572345	0.0	0.0	0.0	0.0	0.0
jahr	0.0	0.0	0.0007786629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00058359036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nichte	0.0	0.0	0.0007774582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
verwalter	0.0	0.0	0.00076223013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aehnlichkeit	0.0	0.0	0.0007441971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bär	0.0	0.0	0.00073850254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
halden	0.0	0.0	0.0007243572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
neuen	0.0	0.0	0.00070291513	0.0	0.0	0.0	0.0	0.0007345239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
umgebung	0.0	0.0	0.0006978624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
saba	0.0	0.0	0.0006714064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
heiland	0.0	0.0	0.0006485946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
weitere	0.0	0.0	0.000634157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
völlig	0.0	0.0	0.0005960171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
boden	0.0	0.0	0.00058305496	0.0	0.0	0.0	0.0	0.0	0.0008188864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
schuster	0.0	0.0	0.0005624036	0.0	0.0	0.0010245186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
kurze	0.0	0.0	0.00056060444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leads	0.0	0.0	0.0005557432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
farbe	0.0	0.0	0.0005379204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fuße	0.0	0.0	0.0005060156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dürfte	0.0	0.0	0.0005019375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bald	0.0	0.0	0.0004990961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00062358053	0.0	0.0	0.0	0.0	0.0	0.0	0.0
noch	0.0	0.0	0.0004987617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
stellen	0.0	0.0	0.0004982374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006392962	0.0	0.0	0.0	0.0	0.0	0.0
apostel	0.0	0.0	0.0004916938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
einrichtung	0.0	0.0	0.00048821632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
möchte	0.0	0.0	0.00048718738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
missionär	0.0	0.0	0.00047778216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
auge	0.0	0.0	0.0004761974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
häuschen	0.0	0.0	0.0004737105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006827049	0.0	0.0	0.0	0.0	0.0	0.0
warnemünde	0.0	0.0	0.00047096412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
übrigen	0.0	0.0	0.00046818738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
delavigne	0.0	0.0	0.0004644543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
zeiten	0.0	0.0	0.0004641411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accent	0.0	0.0	0.0004638992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
künste	0.0	0.0	0.00046369134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
wilibald	0.0	0.0	0.00046349177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
professor	0.0	0.0	0.00046306333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00063162093	0.0	0.0	0.0	0.0	0.0	0.0005963146	0.0	0.0008014663
cadet	0.0	0.0	0.0004615847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
frau	0.0	0.0	0.0	0.0064677563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017306685	0.0	0.0	0.0	0.0
vater	0.0	0.0	0.0	0.0050212354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019925372	0.0	0.0	0.0	0.0
alles	0.0	0.0	0.0	0.004376522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036889834	0.0	0.0	0.0	0.0
zeit	0.0	0.0	0.0	0.0039156643	0.0	0.0	0.0	0.0025834762	0.0	0.0	0.0	0.0	0.0	0.0	0.0014842441	0.0021698829	0.0	0.0	0.0	0.0
mann	0.0	0.0	0.0	0.003688671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023210153	0.0	0.0	0.0	0.0
liebe	0.0	0.0	0.0	0.0033800907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sagen	0.0	0.0	0.0	0.003308811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
machen	0.0	0.0	0.0	0.0032863442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
herr	0.0	0.0	0.0	0.0032829966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003207486	0.0	0.0029955087	0.0	0.0
